date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:10	1451/1451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d47baf7763888b2bfa4d8188aeb76ece%22	https://go-tailwind.preview.uideck.com/src/images/brands/ayroui.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/ayroui.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:11	1454/1454	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ada18d2c1e5b0c01ed7eceab400864dc%22	https://go-tailwind.preview.uideck.com/src/images/brands/ayroui-2.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/ayroui-2.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:12	10889/10889	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2246a94e786ba63fdbfdcfdf4576b58c07%22	https://go-tailwind.preview.uideck.com/src/images/brands/graygrids.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/graygrids.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:13	10748/10748	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256e5439a89adfbebd0308eabfa90316d%22	https://go-tailwind.preview.uideck.com/src/images/brands/graygrids-2.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/graygrids-2.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:14	5850/5850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22550f1987ed437499d37faeba6dde027c%22	https://go-tailwind.preview.uideck.com/src/images/brands/lineicons.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/lineicons.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:15	5850/5850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b10263d4c194f34005486eb4f6f3ff0e%22	https://go-tailwind.preview.uideck.com/src/images/brands/lineicons-2.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/lineicons-2.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:16	6475/6475	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ca742f313ebb06e619d3433131009ead%22	https://go-tailwind.preview.uideck.com/src/images/brands/plainadmin.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/plainadmin.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:17	3901/3901	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235eebd51a87ac4d737e2ee1cc6c3fb4f%22	https://go-tailwind.preview.uideck.com/src/images/brands/plainadmin-2.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/plainadmin-2.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:18	83884/83884	---M--	200	added ('OK')	image/jpeg	etag:%227cce68a447ee54ea6077012415dcfc43%22	https://go-tailwind.preview.uideck.com/src/images/blog/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:18	87375/87375	---M--	200	added ('OK')	image/jpeg	etag:%227f3d9d7bc9a05270ae8a119b2059e848%22	https://go-tailwind.preview.uideck.com/src/images/blog/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:20	115050/115050	---M--	200	added ('OK')	image/jpeg	etag:%222e211cfef0db749550aeac67b8d1c1e8%22	https://go-tailwind.preview.uideck.com/src/images/blog/image-3.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/image-3.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:20	4687/4687	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:25:20%20GMT	https://go-tailwind.preview.uideck.com/cdn-cgi/l/email-protection	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/l/email-protection.html	(from https://go-tailwind.preview.uideck.com/)
17:25:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:21%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/)
17:25:23	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264e60500-4d7%22	https://go-tailwind.preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://go-tailwind.preview.uideck.com/)
17:25:24	236669/236669	---MCZ	200	added ('OK')	application/javascript	etag:W/%229bce524ba051d787f47b51edd8906507%22	https://go-tailwind.preview.uideck.com/bundle.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/bundle.js	(from https://go-tailwind.preview.uideck.com/)
17:25:24	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2031%20Aug%202023%2016:25:24%20GMT	https://go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/scripts/invisible.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/scripts/invisible.js	(from https://go-tailwind.preview.uideck.com/)
17:25:25	7402/7402	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2031%20Aug%202023%2016:25:25%20GMT	https://go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/be88c2a1/main.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/be88c2a1/main.js	(from https://go-tailwind.preview.uideck.com/)
17:25:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:26%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/blog-grids)
17:25:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:27%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/blog-grids)
17:25:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:28%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:29	22020/22020	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2016:25:29%20GMT	https://go-tailwind.preview.uideck.com/images/blog/blog-details.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/images/blog/blog-details.jpg	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:30	22020/22020	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2016:25:30%20GMT	https://go-tailwind.preview.uideck.com/images/blog/NoisePatern.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/images/blog/NoisePatern.svg	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:31	4035/4035	---M--	200	added ('OK')	image/png	etag:%222bd2c196e1cbecfbcbd82d118c17746a%22	https://go-tailwind.preview.uideck.com/src/images/blog/author.png	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/author.png	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:33	239820/239820	---M--	200	added ('OK')	image/jpeg	etag:%2215209ca939dd7db26b2356dc913e6fde%22	https://go-tailwind.preview.uideck.com/src/images/blog/blog-details-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/blog-details-2.jpg	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:33%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:34%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/404)
17:25:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:35%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/404)
17:25:36	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:36%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/404)
17:25:37	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:37%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/signin)
17:25:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:38%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/signin)
17:25:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:39%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/signup)
17:25:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:25:40%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/signup)
17:25:42	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:41%20GMT	https://go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:42	578/578	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:41%20GMT	https://go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
